Formal Name	Commonly Called as
Virat Kohli	Virat
Virat Kohli	Kohli
MS Dhoni	Msd
MS Dhoni	Dhoni
Sachin Tendulkar	Tendulkar
Sachin Tendulkar	Sachin
Virender Sehwag	Sehwag
Rohit Sharma	Rohit
Rohit Sharma	Sharma
Rahul Dravid	Dravid
Rahul Dravid	Rahul
Ab de Villiers	de Villiers
Ab de Villiers	Abd
Yuvraj Singh	Yuvraj
Yuvraj Singh	Yuvi
Suresh Raina 	Suresh
Suresh Raina 	Raina
David Miller	Miller
Mark Boucher	Boucher
David Warner	Warner
Ricky Ponting	Ponding
Ricky Ponting	Ricky
Glenn Maxwell	Maxwell
Chris Gayle	Gayle
Brayan Lara	Lara
Harbhajan Singh	Harbhajan
Zakir Khan	Zakir
Bhuvaneshwar Kumar	Bhuvaneshwar
Bhuvaneshwar Kumar	Kumar
Jasprit Bumrah	Bumrah
Jasprit Bumrah	Jasprit
Shikhar Dhawan	Dhawan
Lokesh Rahul	Rahul
Lokesh Rahul	Lokesh
Ajinkya Rahane	Rahane
Ashish Nehra	Nehra
Ashish Nehra	Ashish
Yuzvendra Chahal	Chahal
Mohamad Kaif	Kaif
Ravindra Jadeja	Jadeja
Ravichandran Ashwin	Ashwin
Dhinesh Karthik	Karthik
Dhinesh Karthik	Dhinesh
Washington Sundar	Sundar
Kaleel Ahmad	Ahmad
Irfan Pathan 	Pathan
Irfan Pathan 	Irfan
Yusuf Pathan 	Yusuf
Yusuf Pathan 	Pathan
Rudra Pratap Singh	Singh
Rudra Pratap Singh	RP Singh
Kuldeep Yadav	Yadav
Kuldeep Yadav	Kuldeep
Gautham Gambir	Gambir
Gautham Gambir	Gautham
Mitchell Starc	Starc
Mitchell Starc	Mitchell
Andrew Symonds	Symonds
Steven Smith	Smith
Mitchell Marsh	Marsh
Aaron Finch	Finch
Adam Gilchrist	Gilchrist
Matthew Hayden	Hayden
Brett Lee	Lee
Clean Mcgrath	Mcgrath
Shaun Pollock	Pollock
Makhaya Ntini	Ntini
Faf Du Plessis	du Plessis
Dale Steyn	Steyn
Hashim Amla	Amla
Kagiso Rabada	Rabada
Quinton De Kock	De Kock
Jean-Paul Dumini	Dumini
Morne Morkel	Morkel
Kieron Pollard	Pollard
Sunil Narine	Narine
Marlon Samuels	Samuels
Darren Bravo	Bravo
Dwayne Bravo	Bravo
Andre Russell	Russell
Jason Holder	Holder
Sarfraz Ahmed	Sarfraz
Shoaib Malik	Shoaib
Shoaib Malik	Malik
Mohammad Hafeez	Hafeez
Shahit Afridi	Afridi
Shoaib Akhtar	Akhtar
Wasim Akram	Wasim
Mohamad Hafez	Hafez
Sanath Jayasuriya	Jayasuriya
Mahela Jayawardene	Jayawardene
Lasith Malinga	Malinga
Angelo Mathews	Mathews
Dinesh Chandimal	Chandimal
Dinesh Chandimal	Dinesh
Thisara Perera	Perera
Upul Tharanga	Upul 
Upul Tharanga	Tharanga
Kumar Sangakkara 	Kumar 
Kumar Sangakkara 	Sangakkara
Tillakaratne Dilshan	Dilshan
Manish Pandey	Pandey
Hardik Pandya	Pandya
Hardik Pandya	Hardik
Mushfiqur Rahim	Rahim
Shakib Al Hasan	Shakib
Shakib Al Hasan	Al Hasan
Mustafizur Rahman	Rahman
Mustafizur Rahman	Mustafizur
Rashid Khan	Rashid
Alastair Cook	Cook
Joe Root	Root
James Anderson	Anderson
Ben Stokes	Stokes
Jos Buttler	Buttler
Kevin Pietersen	Pietersen
Eoin Morgan	Morgan
Stuart Broad	Broad
Alex Hales	Hales
Chris Jordan	Jordan
Shane Warne	Warne
Albie Morkel	Morkel
Kane Williamson	Williamson
Brendon Mccullum	Mccullum
Ross Taylor	Taylor
Corey Anderson	Anderson
Trent Boult	Boult
Tim Southee	Southee
Martin Guptill	Guptill
